Comment ID,Comment,Post ID,Post themes,Background song/audio,Harm score,Score explanation
7230833132126700544,but HOW do you regulate your nervous system???,7219497020594064645,"Girl, fitness, health, personal opinion, educational","Yes, normal voice",0,Genuine question about regulating the nervous system—appropriate for educational and health-related content.
7224267659632966656,"My eyes are opened, I always thought that stress kept my weight low but when I think about life before stress my weight was stable and healthy",7219497020594064645,"Girl, fitness, health, personal opinion, educational","Yes, normal voice",0,Positive reflection based on new understanding from the post—supportive tone.
7220614818452389888,I know I’m always in the middle zone in panic and anxiety. I would love to know more about how to heal my nervous system!,7219497020594064645,"Girl, fitness, health, personal opinion, educational","Yes, normal voice",0,Relatable comment using humor to express a common experience; no harm intended.
7220234270626595840,"Okay but HOW do I get in that green zone? How can I learn to regulate that nervous systeem? I’ve been in blue for 5 years now, sadly.",7219497020594064645,"Girl, fitness, health, personal opinion, educational","Yes, normal voice",0,"Inquisitive tone, asking how to apply the advice—engaged and respectful."
7219913896215150592,Omg HOW! Need a part two ASAP,7219497020594064645,"Girl, fitness, health, personal opinion, educational","Yes, normal voice",0,"Excited request for more content—enthusiastic, not harmful."
7219911598021950464,can you explain why eating food in a stressed state = ingesting more stress?,7219497020594064645,"Girl, fitness, health, personal opinion, educational","Yes, normal voice",0,"Personal experience shared respectfully, showing learning—neutral tone."
7220169605079564288,So it all started around 11 years old for all of us huh,7219497020594064645,"Girl, fitness, health, personal opinion, educational","Yes, normal voice",0,Appreciative comment encouraging the spread of the content—very supportive.
7471871535268985856,"THANK YOU!!!
At last the answer!!! 40 years of struggle & last 10 years in dorsal state",7219497020594064645,"Girl, fitness, health, personal opinion, educational","Yes, normal voice",0,Compliment about the creator's voice creating comfort—positive emotional impact.
7219955540277299200,I’m convinced that TikTok reads my thoughts and always leads me to things I’ve thought about. I’ve never cared more about my weight till recently,7219497020594064645,"Girl, fitness, health, personal opinion, educational","Yes, normal voice",0,"Emotional reaction showing resonance with the content—not harmful, deeply personal."
7220345422886223872,I'm in the freeze zone and it's scary :(,7219497020594064645,"Girl, fitness, health, personal opinion, educational","Yes, normal voice",0.25,"Vulnerable and emotionally expressive—slight concern due to fear, but not directly harmful."
